placeId,name,address,lat,lng,types
ChIJISOT3L_3NIgRekQBJkKl7qY,Manpasand Spice Corner,"2101 Greentree Road A 101, Pittsburgh",40.3905299,-80.0693283,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJt6ad_wXvNIgRZda7Xv8M5jk,Giant Eagle Supermarket,"1356 Hoffman Boulevard, West Mifflin",40.3843975,-79.8683695,"grocery_or_supermarket,supermarket,food,store,point_of_interest,establishment"
ChIJIf_JxsT3NIgRhW2-vAEL1kI,ALDI,"1160 Washington Avenue, Carnegie",40.39759599999999,-80.085244,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJH5R7IQX3NIgRALFobKDOe4s,Kuhn's Market,"3125 Banksville Road, Pittsburgh",40.399876,-80.0433974,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJJUTXuhz3NIgR2fV1Skrohc0,bp,"2900 Banksville Road, Pittsburgh",40.40335,-80.04078,"gas_station,supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJx-TTfGv3NIgRnlF8qopRcOU,bp,"1530 Potomac Avenue, Pittsburgh",40.397202,-80.0354883,"gas_station,supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJGQaf5ST3NIgRUNT38K9zPkc,bp,"2873 West Liberty Avenue, Pittsburgh",40.395529,-80.03317799999999,"gas_station,supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJ9X4UwTr3NIgRvcIUkP2SQ6Q,Las Palmas Pittsburgh #1,"700 Brookline Boulevard, Pittsburgh",40.3946018,-80.02171849999999,"supermarket,grocery_or_supermarket,restaurant,food,store,point_of_interest,establishment"
ChIJrRaJeNDwNIgR77XGOLA5OJk,Amoco,"1709 Saw Mill Run Boulevard, Pittsburgh",40.39584,-79.99781,"gas_station,supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
ChIJI5Ojgd3wNIgRsmEiiiQGHFM,bp,"1927 Brownsville Road, Pittsburgh",40.39545,-79.986936,"gas_station,supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment"
ChIJC6wV3SDxNIgREhDG8A7MH4Q,Brownsville Shop 'n Save,"1119 Brownsville Road, Pittsburgh",40.4049229,-79.9897618,"grocery_or_supermarket,supermarket,store,food,point_of_interest,establishment"
ChIJs-z77SnuNIgRvvee4cqAobQ,bp,"431 West 7th Avenue, West Homestead",40.402266,-79.918081,"gas_station,supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment"
