placeId,name,address,lat,lng,types,category
ChIJrbPsYIbxNIgRlkq_8p_PocA,Groceria Merante,"3454 Bates St, Pittsburgh, PA 15213, United States",40.4365618,-79.9554003,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJlR8bgCPyNIgR3SKlTK01Cgo,Seoul Mart,"4701 Fifth Ave, Pittsburgh, PA 15213, United States",40.44718110000001,-79.94714599999999,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJVRGfB-PzNIgRgl3BVPkhnXY,7-Eleven,"1 Bigelow Sq, Pittsburgh, PA 15219, United States",40.4408471,-79.9940196,"convenience_store,liquor_store,cafe,restaurant,point_of_interest,food,store,establishment",grocery
ChIJRe1uJ2ryNIgRBggOzYdROvs,ALDI,"5200 Penn Ave, Pittsburgh, PA 15224, United States",40.464522,-79.939418,"supermarket,grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJ05Zle6vzNIgR5d6-XIDBWbE,The PA Market,"108 19th St, Pittsburgh, PA 15222, United States",40.4508832,-79.9849885,"restaurant,bar,cafe,point_of_interest,food,store,establishment",grocery
ChIJfbwbwhbzNIgRTx0w1Qdw7dU,SHOP 'n SAVE,"1620 Babcock Blvd, Millvale, PA 15209, United States",40.499107,-79.9791561,"grocery_or_supermarket,supermarket,point_of_interest,food,store,establishment",grocery
ChIJ086LHVHxNIgRAYIT8K3B6NA,Smithfield News,"115 Smithfield St, Pittsburgh, PA 15222, United States",40.4377271,-80.00045840000001,"convenience_store,point_of_interest,food,store,establishment",grocery
ChIJMWsnJADyNIgRw4CWZZRWuTY,Panda Supermarket,"5816-5818 Forbes Ave, Pittsburgh, PA 15217, United States",40.4379288,-79.9222397,"supermarket,grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJRQ2QuzvyNIgR0vzCkK6_d6I,Dollar General,"4725 Centre Ave, Pittsburgh, PA 15213, United States",40.4533485,-79.94917769999999,"convenience_store,drugstore,grocery_or_supermarket,point_of_interest,food,store,health,establishment",grocery
ChIJTYKYWUvxNIgRgTBQ97F4VQY,Mt Washington Shop 'n Save,"125 Virginia Ave, Pittsburgh, PA 15211, United States",40.4296598,-80.00793949999999,"grocery_or_supermarket,supermarket,point_of_interest,food,store,establishment",grocery
ChIJs5BaEubxNIgRmo3qr4wm8LM,Giant Eagle Supermarket,"4250 Murray Ave, Pittsburgh, PA 15217, United States",40.4223553,-79.9293938,"grocery_or_supermarket,supermarket,point_of_interest,food,store,establishment",grocery
ChIJP1gKhd3zNIgRDvDSrU2GptQ,Robert Wholey & Co. Inc.,"1711 Penn Ave, Pittsburgh, PA 15222, United States",40.4498864,-79.98595929999999,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJ-V-AslfxNIgRotgP4uLUUtk,7-Eleven,"643 Liberty Ave, Pittsburgh, PA 15222, United States",40.4425938,-80.0002042,"convenience_store,liquor_store,cafe,restaurant,point_of_interest,food,store,establishment",grocery
